id,seasonNumber,name,series_id
302,1,Season 1,103
199,1,Season 1,76
200,2,Season 2,76
26742,1,Season 1,15128
41309,1,Season 1,29918
41310,2,Season 2,29918
41311,3,Season 3,29918
25653,1,Season 1,14285
582,1,Season 1,175
23609,1,Season 1,12709
23610,2,Season 2,12709
22635,1,Season 1,11967
22636,2,Season 2,11967
12099,1,Season 1,4104
30493,1,Season 1,20457
30494,2,Season 2,20457
30495,3,Season 3,20457
30496,4,Season 4,20457
303383,5,Season 5,20457
303384,6,Season 6,20457
21260,1,Season 1,10890
19816,1,Season 1,9922
19818,2,Season 2,9922
19815,3,Season 3,9922
19817,4,Season 4,9922
85018,1,Season 1,9411
27823,1,Season 1,16619
27824,2,Season 2,16619
244338,3,Season 3,16619
244339,4,Season 4,16619
244340,5,Season 5,16619
244341,6,Season 6,16619
244342,7,Season 7,16619
27825,8,Season 8,16619
1114,1,Season 1,380
1115,2,Season 2,380
1113,3,Season 3,380
21115,1,Season 1,10768
21116,2,Season 2,10768
23683,1,Season 1,12773
28637,3,Season 3,17882
80834,1,Season 1,68149
34723,1,Season 1,24549
34724,2,Season 2,24549
34725,3,Season 3,24549
34727,6,Season 6,24549
34728,7,Season 7,24549
